iso3,year,gdp_pc_const2015,population,n_loans,total_loan_amount,kiva_active,log_gdp_pc,log_population,c_log_gdp_pc,c_log_gdp_pc_sq,institutional_pca1,institutional_index,financial_access_index
ASM,2016,12665.2829921268,52245.0,0.0,0.0,0,9.446619906609893,10.86369947146821,0.6805384217073485,0.4631325434199289,,,
ASM,2017,11930.7771236826,51586.0,0.0,0.0,0,9.386876653262345,10.851005596826855,0.6207951683598001,0.38538664105887255,,,
ATG,2013,15748.1952024226,88064.0,0.0,0.0,0,9.664481047365431,11.385819101852961,0.8983995624628864,0.8071217738335058,,,
ATG,2014,15967.284996712,88765.0,0.0,0.0,0,9.678297220288695,11.393747707140898,0.91221573538615,0.8321375478860944,,,
ATG,2015,16077.6340769406,89409.0,0.0,0.0,0,9.685184397388992,11.400976627235545,0.9191029124864478,0.8447501637410709,,,
ATG,2016,16635.895232831,89969.0,0.0,0.0,0,9.719318003225215,11.407220445533344,0.9532365183226705,0.9086598598639269,,,
ATG,2017,16992.9327495236,90468.0,0.0,0.0,0,9.740552815986323,11.412751475999702,0.9744713310837785,0.949594375104191,,,
AUS,2013,55966.1509270561,23128129.0,0.0,0.0,0,10.932502339233968,16.956560140317556,2.166420854331424,4.693379318082096,,,
AUS,2014,56571.8062524437,23475686.0,0.0,0.0,0,10.94326601733858,16.97147580520884,2.1771845324360353,4.740132488278718,,,
AUS,2015,56970.3613028094,23815995.0,0.0,0.0,0,10.950286434437997,16.98586797173483,2.1842049495354523,4.7707512615751675,,,
AUS,2016,57632.9995925594,24190907.0,0.0,0.0,0,10.96185059222698,17.001487376715872,2.195769107324436,4.82140197268035,,,
AUS,2017,57991.771347333,24592588.0,0.0,0.0,0,10.96805640614174,17.017955654689374,2.201974921239195,4.848693553766359,,,
AUT,2013,43851.3675497404,8479823.0,0.0,0.0,0,10.688561184309245,15.95320013490874,1.9224796994067006,3.695928194630878,,,
AUT,2014,43838.8345892137,8546356.0,0.0,0.0,0,10.688275337993321,15.961015551233999,1.9221938530907767,3.6948292088599666,,,
AUT,2015,43915.228020857,8642699.0,0.0,0.0,0,10.690016418660566,15.972225476257695,1.9239349337580212,3.701525629334481,,,
AUT,2016,44362.6702805116,8736668.0,0.0,0.0,0,10.700153635335925,15.983039439244974,1.93407215043338,3.7406350830819988,,,
AUT,2017,45056.6385912412,8797566.0,0.0,0.0,0,10.715675612695888,15.989985650281024,1.9495941277933433,3.800917263126287,,,
AZE,2013,5425.99559780578,9416801.0,1103.0,2246725.0,1,8.598956681903728,16.05800599227359,-0.16712480299881705,0.027930699777393406,-0.0150797117754313,0.0146587747071532,-0.2721452681157406
AZE,2014,5508.60265612676,9535079.0,986.0,1671400.0,1,8.61406626855578,16.07048808224715,-0.15201521634676496,0.023108626000953755,-0.0150797117754313,0.0146587747071532,-0.2721452681157406
AZE,2015,5500.50364628486,9649341.0,656.0,861950.0,1,8.61259493907989,16.08240018082785,-0.15348654582265375,0.02355811974856959,-0.0150797117754313,0.0146587747071532,-0.2721452681157406
AZE,2016,5272.71817141861,9757812.0,303.0,355350.0,1,8.570301290618433,16.09357875292924,-0.19578019428411153,0.03832988447392446,-0.0150797117754313,0.0146587747071532,-0.2721452681157406
AZE,2017,5229.25259993413,9854033.0,0.0,0.0,0,8.562023640524542,16.10339137097429,-0.20405784437800278,0.0416396038521972,-0.0150797117754313,0.0146587747071532,-0.2721452681157406
BDI,2013,259.311117203355,10439341.0,380.0,1003200.0,1,5.558028565529743,16.161092015821087,-3.2080529193728013,10.291603533496353,-1.379407877621485,-1.2421188437816004,
BDI,2014,261.296721752002,10799785.0,391.0,1162750.0,1,5.565656626531303,16.195036784488885,-3.2004248583712416,10.242719274080581,-1.379407877621485,-1.2421188437816004,
BDI,2015,254.402585226788,11047580.0,274.0,837000.0,1,5.538917993469318,16.217721957418156,-3.2271634914332266,10.414584200439492,-1.379407877621485,-1.2421188437816004,
BDI,2016,258.061970804063,11239451.0,179.0,564700.0,1,5.55319975299393,16.234940557820572,-3.212881731908615,10.3226090232321,-1.379407877621485,-1.2421188437816004,
BDI,2017,261.725839287239,11506762.0,36.0,103400.0,1,5.567297540952551,16.258445420529213,-3.1987839439499934,10.232218720072275,-1.379407877621485,-1.2421188437816004,
BEL,2013,40007.8997891411,11159407.0,0.0,0.0,0,10.596832208325084,16.227793377304945,1.8307507234225397,3.3516482113121526,,,
BEL,2014,40533.9135027898,11209057.0,0.0,0.0,0,10.609894273134854,16.232232670189696,1.8438127882323094,3.3996455980490032,,,
BEL,2015,40893.804537772,11274196.0,0.0,0.0,0,10.618733852262814,16.238027132606476,1.8526523673602693,3.43232079428561,,,
BEL,2016,41172.8862831209,11331422.0,0.0,0.0,0,10.625535218770558,16.24309013263099,1.8594537338680137,3.457568188395698,,,
BEL,2017,41619.328629169,11375158.0,0.0,0.0,0,10.636319968850893,16.24694241281471,1.8702384839483486,3.4977919868414173,,,
BEN,2013,982.399206290516,10708834.0,447.0,366575.0,1,6.889997749463516,16.186579566282386,-1.8760837354390283,3.519690182378858,-0.060552466438604,-0.0720176035063484,-0.6836300378046302
BEN,2014,1014.4330062135,11030004.0,496.0,468950.0,1,6.92208512082466,16.216129753876945,-1.843996364077885,3.4003225907324595,-0.060552466438604,-0.0720176035063484,-0.6836300378046302
BEN,2015,1002.41886879614,11360681.0,0.0,0.0,0,6.91017122702415,16.245668916643616,-1.8559102578783948,3.44440288529825,-0.060552466438604,-0.0720176035063484,-0.6836300378046302
BEN,2016,1006.03926633023,11697842.0,0.0,0.0,0,6.913776382035356,16.27491493831157,-1.8523051028671889,3.431034194107827,-0.060552466438604,-0.0720176035063484,-0.6836300378046302
BEN,2017,1032.90471194182,12039780.0,1.0,50000.0,1,6.940130220858916,16.30372672525276,-1.8259512640436286,3.3340980186625253,-0.060552466438604,-0.0720176035063484,-0.6836300378046302
BFA,2013,616.741331164082,17695409.0,299.0,319150.0,1,6.42444969963834,16.688815785368554,-2.3416317852642043,5.483239417759624,-0.5300958940549196,-0.4279539490148614,-0.7678303811541541
BFA,2014,624.576885187665,18229461.0,377.0,470575.0,1,6.437074436779726,16.718549579569363,-2.3290070481228184,5.424273830205764,-0.5300958940549196,-0.4279539490148614,-0.7678303811541541
BFA,2015,630.124750752312,18777487.0,649.0,848800.0,1,6.445917816849948,16.74816921022413,-2.3201636680525963,5.383159446551279,-0.5300958940549196,-0.4279539490148614,-0.7678303811541541
BFA,2016,648.420480176012,19334856.0,817.0,1057400.0,1,6.474539375075245,16.777420035361978,-2.2915421098273,5.251165241111753,-0.5300958940549196,-0.4279539490148614,-0.7678303811541541
BFA,2017,669.276310328333,19894407.0,971.0,1023675.0,1,6.506196994781748,16.805949194914902,-2.259884490120797,5.107077908688534,-0.5300958940549196,-0.4279539490148614,-0.7678303811541541
BGD,2013,1103.15695907123,156532141.0,0.0,0.0,0,7.005931311098014,18.868771920660087,-1.7601501738045302,3.0981286343441177,,,
BGD,2014,1159.40753475981,157964929.0,0.0,0.0,0,7.055664407728581,18.87788359799819,-1.7104170771739637,2.925526577888325,,,
BGD,2015,1224.38647668165,159383179.0,0.0,0.0,0,7.110195162156987,18.886821791775866,-1.6558863227455571,2.7419595138558033,,,
BGD,2016,1299.83091360792,160811932.0,0.0,0.0,0,7.169989468534807,18.89574611593626,-1.596092016367738,2.5475097247128313,,,
BGD,2017,1373.75363740186,162186147.0,0.0,0.0,0,7.225302153504579,18.904255289093154,-1.5407793313979656,2.374000948063162,,,
BGR,2013,6793.08253592745,7160005.0,0.0,0.0,0,8.82366009926138,15.784021237260607,0.05757861435883527,0.0033152968314834707,0.9917900158387228,0.8583867504146934,1.674850785044617
BGR,2014,6941.37319825776,7073572.0,0.0,0.0,0,8.845254901111836,15.771876143665825,0.07917341620929186,0.0062684298342497585,0.9917900158387228,0.8583867504146934,1.674850785044617
BGR,2015,7269.02586513711,6984225.0,0.0,0.0,0,8.891377567758276,15.75916459247748,0.12529608285573168,0.01569910837899038,0.9917900158387228,0.8583867504146934,1.674850785044617
BGR,2016,7586.89174668116,6894139.0,0.0,0.0,0,8.934177266972299,15.746182188315798,0.16809578206975395,0.028256191949642216,0.9917900158387228,0.8583867504146934,1.674850785044617
BGR,2017,7899.11056589871,6803468.0,0.0,0.0,0,8.974505445521666,15.732943040140535,0.20842396061912183,0.043440547360161244,0.9917900158387228,0.8583867504146934,1.674850785044617
BHR,2013,24271.6278814506,1253191.0,0.0,0.0,0,10.097063370284674,14.04120365641932,1.3309818853821298,1.7715127792153689,,,
BHR,2014,24135.4991304849,1314562.0,0.0,0.0,0,10.091439028654932,14.08901408826268,1.3253575437523875,1.7565726187813617,,,
BHR,2015,23734.0551143019,1370322.0,0.0,0.0,0,10.07466622038898,14.130556306683907,1.308584735486436,1.7123940099481054,,,
BHR,2016,23715.2791328712,1423726.0,0.0,0.0,0,10.073874808551128,14.168787936709439,1.3077933236485837,1.7103233773798092,,,
BHR,2017,23606.8867501313,1501116.0,0.0,0.0,0,10.069293759891265,14.221719389441638,1.30321227498872,1.6983622336812754,,,
BHS,2013,30368.2631244189,378953.0,0.0,0.0,0,10.321153365901191,12.845167465820529,1.5550718809986463,2.418248555072668,,,
BHS,2014,30658.5344563722,382298.0,0.0,0.0,0,10.330666351425958,12.853955688177228,1.564584866523413,2.447925804554086,,,
BHS,2015,30719.405417469,385346.0,0.0,0.0,0,10.332649832174202,12.861896910978396,1.566568347271657,2.4541363866734507,,,
BHS,2016,30152.1619246021,388055.0,0.0,0.0,0,10.314011905209883,12.868902361136783,1.5479304203073383,2.396088586112853,,,
BHS,2017,30974.7477261317,390485.0,0.0,0.0,0,10.340927562029366,12.875144835232174,1.5748460771268213,2.480140166641738,,,
BIH,2013,4306.73175072214,3610859.0,0.0,0.0,0,8.367934600951074,15.099456252141923,-0.3981468839514708,0.15852094120026594,0.0434442849339362,0.0296638603820751,0.5688488806411871
BIH,2014,4412.67617817734,3564829.0,0.0,0.0,0,8.392236627510174,15.0866266443407,-0.3738448573923705,0.13975997739872184,0.0434442849339362,0.0296638603820751,0.5688488806411871
BIH,2015,4662.25869219448,3518541.0,0.0,0.0,0,8.44725530758742,15.073556973013757,-0.31882617731512397,0.10165013134137488,0.0434442849339362,0.0296638603820751,0.5688488806411871
BIH,2016,4876.53471495633,3473003.0,0.0,0.0,0,8.492190147213005,15.060530195532346,-0.2738913376895393,0.07501646486136526,0.0434442849339362,0.0296638603820751,0.5688488806411871
BIH,2017,5099.81602856447,3428682.0,0.0,0.0,0,8.53695974523128,15.047686488736886,-0.22912173967126392,0.05249677158998644,0.0434442849339362,0.0296638603820751,0.5688488806411871
BLR,2013,6115.43288098707,9443211.0,0.0,0.0,0,8.718570835638193,16.06080662858945,-0.04751064926435156,0.002257261793520229,,,
BLR,2014,6212.91667418659,9448515.0,0.0,0.0,0,8.734385738447378,16.06136814426455,-0.03169574645516704,0.001004620343350234,,,
BLR,2015,5967.05595058777,9461076.0,0.0,0.0,0,8.694008944147766,16.062696676631802,-0.0720725407547782,0.005194451130849165,,,
BLR,2016,5811.20159182547,9469379.0,0.0,0.0,0,8.667542642890593,16.06357388751051,-0.09853884201195129,0.009709903385056297,,,
BLR,2017,5964.89668834561,9458989.0,0.0,0.0,0,8.69364701474173,16.062476064281004,-0.07243447016081461,0.005246752467477942,,,
BLZ,2013,6013.07879895362,341627.0,76.0,27825.0,1,8.70169217571898,12.741474777585717,-0.06438930918356434,0.004145983137136643,0.0401767239526889,-0.0374139013347947,0.1591864686325823
BLZ,2014,6116.49578852783,348923.0,102.0,103500.0,1,8.718744627943913,12.76260654646961,-0.04733685695863166,0.002240778026721954,0.0401767239526889,-0.0374139013347947,0.1591864686325823
BLZ,2015,6154.62264230369,356333.0,0.0,0.0,0,8.724958727608884,12.78362096588494,-0.04112275729366033,0.0016910811674332937,0.0401767239526889,-0.0374139013347947,0.1591864686325823
BLZ,2016,6012.21296983668,364705.0,23.0,10525.0,1,8.701548174369977,12.80684408660134,-0.06453331053256761,0.004164548168292802,0.0401767239526889,-0.0374139013347947,0.1591864686325823
