country_code_x,kiva_year,n_loans,total_loan_amount,country_code_y,poverty_rate,poverty_year_matched,country_code,year
PA,2014.0,5,30000.0,PA,6.4,,,
PA,2015.0,139,153050.0,PA,4.8,,,
PA,2016.0,48,60225.0,PA,4.8,,,
PA,2017.0,1,30000.0,PA,4.3,,,
PE,2013.0,373,330775.0,PE,8.6,,,
PE,2014.0,7545,8750325.0,PE,8.0,,,
PE,2015.0,5644,8105300.0,PE,8.0,,,
PE,2016.0,6125,9409475.0,PE,7.5,,,
PE,2017.0,2546,4271525.0,PE,7.3,,,
PH,2013.0,739,275850.0,PH,,,,
PH,2014.0,37778,13961450.0,PH,,,,
PH,2015.0,46021,16083375.0,PH,14.6,,,
PH,2016.0,48262,16218925.0,PH,,,,
PH,2017.0,27641,8802625.0,PH,,,,
PK,2013.0,220,99450.0,PK,21.2,,,
PK,2014.0,5887,3012550.0,PK,,,,
PK,2015.0,6456,3408700.0,PK,16.9,,,
PK,2016.0,9056,4421425.0,PK,,,,
PK,2017.0,5238,2352625.0,PK,,,,
PR,2015.0,12,54300.0,PR,,,,
PR,2016.0,29,155700.0,PR,,,,
PR,2017.0,10,76000.0,PR,,,,
PS,2013.0,130,226350.0,PS,,,,
PS,2014.0,1510,2145575.0,PS,,,,
PS,2015.0,2052,3238875.0,PS,,,,
PS,2016.0,3080,5189400.0,PS,1.4,,,
PS,2017.0,1395,2270700.0,PS,,,,
PY,2013.0,192,586400.0,PY,4.1,,,
PY,2014.0,2742,6765625.0,PY,4.3,,,
PY,2015.0,3341,8118950.0,PY,4.2,,,
PY,2016.0,3840,9819725.0,PY,4.2,,,
PY,2017.0,1788,4338375.0,PY,2.4,,,
RW,2013.0,72,57900.0,RW,65.2,,,
RW,2014.0,1866,2297725.0,RW,,,,
RW,2015.0,1975,4898375.0,RW,,,,
RW,2016.0,2143,6406150.0,RW,63.8,,,
RW,2017.0,679,2986150.0,RW,,,,
SB,2014.0,4,2025.0,SB,,,,
SB,2015.0,116,87500.0,SB,,,,
SB,2016.0,117,117225.0,SB,,,,
SB,2017.0,317,305800.0,SB,,,,
SL,2013.0,165,80050.0,SL,,,,
SL,2014.0,2057,1322400.0,SL,,,,
SL,2015.0,489,623125.0,SL,,,,
SL,2016.0,1374,1393325.0,SL,,,,
SL,2017.0,1330,761625.0,SL,,,,
SN,2013.0,56,88750.0,SN,,,,
SN,2014.0,1230,2354650.0,SN,,,,
SN,2015.0,823,1940150.0,SN,,,,
SN,2016.0,543,1390350.0,SN,,,,
SN,2017.0,617,1260025.0,SN,,,,
SO,2014.0,29,62525.0,SO,,,,
SO,2015.0,36,85850.0,SO,,,,
SO,2016.0,8,63200.0,SO,,,,
SO,2017.0,2,14300.0,SO,,,,
SR,2014.0,106,291725.0,SR,,,,
SR,2015.0,95,210800.0,SR,,,,
SR,2016.0,22,48275.0,SR,,,,
SS,2014.0,48,23750.0,SS,,,,
SS,2015.0,111,47150.0,SS,,,,
SS,2017.0,1,50000.0,SS,,,,
SV,2013.0,539,323250.0,SV,7.1,,,
SV,2014.0,13044,8423825.0,SV,7.0,,,
SV,2015.0,11952,8231200.0,SV,5.3,,,
SV,2016.0,9302,6348300.0,SV,5.8,,,
SV,2017.0,5038,3277075.0,SV,4.5,,,
TG,2014.0,857,410750.0,TG,,,,
TG,2015.0,2088,381075.0,TG,61.5,,,
TG,2016.0,1841,428950.0,TG,,,,
TG,2017.0,963,315600.0,TG,,,,
TH,2014.0,24,54600.0,TH,0.2,,,
TH,2015.0,20,43350.0,TH,0.1,,,
TH,2016.0,94,192300.0,TH,0.1,,,
TH,2017.0,42,135850.0,TH,0.1,,,
TJ,2013.0,129,139700.0,TJ,,,,
TJ,2014.0,4353,4549450.0,TJ,,,,
TJ,2015.0,4536,3739125.0,TJ,13.3,,,
TJ,2016.0,6418,4085150.0,TJ,,,,
TJ,2017.0,4144,2516925.0,TJ,,,,
TL,2013.0,47,43750.0,TL,,,,
TL,2014.0,761,636200.0,TL,43.9,,,
TL,2015.0,1055,1016500.0,TL,,,,
TL,2016.0,602,544000.0,TL,,,,
TL,2017.0,225,193450.0,TL,,,,
TR,2013.0,15,6750.0,TR,1.5,,,
TR,2014.0,239,99225.0,TR,1.0,,,
TR,2015.0,532,228650.0,TR,1.3,,,
TR,2016.0,663,286225.0,TR,0.9,,,
TR,2017.0,254,122950.0,TR,1.1,,,
TZ,2013.0,33,93675.0,TZ,,,,
TZ,2014.0,1292,2571225.0,TZ,,,,
TZ,2015.0,1672,1789550.0,TZ,,,,
TZ,2016.0,1774,1868950.0,TZ,,,,
TZ,2017.0,448,504325.0,TZ,,,,
UA,2013.0,17,39025.0,UA,0.1,,,
UA,2014.0,366,760650.0,UA,0.0,,,
UA,2015.0,228,328700.0,UA,0.3,,,
UA,2016.0,236,337650.0,UA,0.2,,,
UA,2017.0,116,148175.0,UA,0.1,,,
UG,2013.0,41,18250.0,UG,,,,
UG,2014.0,7390,5739825.0,UG,,,,
UG,2015.0,6152,4633475.0,UG,,,,
UG,2016.0,4538,3370100.0,UG,60.1,,,
UG,2017.0,2480,1627700.0,UG,,,,
US,2013.0,34,174675.0,US,1.0,,,
US,2014.0,1009,4707875.0,US,1.2,,,
US,2015.0,1207,6599125.0,US,1.2,,,
US,2016.0,1102,6695750.0,US,1.2,,,
US,2017.0,746,3950100.0,US,1.2,,,
,,2,2025.0,,,,VC,2014.0
,,14,47200.0,,,,VC,2015.0
VN,2013.0,102,90850.0,VN,,,,
VN,2014.0,2885,3738575.0,VN,3.4,,,
VN,2015.0,2952,4625300.0,VN,,,,
VN,2016.0,3138,4521525.0,VN,2.5,,,
VN,2017.0,1766,1915200.0,VN,,,,
VU,2014.0,4,9250.0,VU,,,,
,,122,77075.0,,,,WS,2013.0
,,1927,1714900.0,,,,WS,2014.0
,,1754,1380550.0,,,,WS,2015.0
,,2494,2221300.0,,,,WS,2016.0
,,1099,897750.0,,,,WS,2017.0
,,2,4525.0,,,,XK,2013.0
,,517,762100.0,,,,XK,2014.0
,,264,356625.0,,,,XK,2015.0
,,402,518750.0,,,,XK,2016.0
,,234,305750.0,,,,XK,2017.0
YE,2013.0,66,55625.0,YE,,,,
YE,2014.0,1642,1409825.0,YE,33.3,,,
YE,2015.0,254,224900.0,YE,,,,
YE,2016.0,179,83100.0,YE,,,,
YE,2017.0,172,106500.0,YE,,,,
ZA,2014.0,52,90525.0,ZA,31.2,,,
ZA,2015.0,192,254675.0,ZA,,,,
ZA,2016.0,113,190475.0,ZA,,,,
ZA,2017.0,21,38350.0,ZA,,,,
ZM,2014.0,188,238850.0,ZM,,,,
ZM,2015.0,213,436350.0,ZM,67.9,,,
ZM,2016.0,218,346775.0,ZM,,,,
ZM,2017.0,165,188700.0,ZM,,,,
ZW,2013.0,5,12650.0,ZW,,,,
ZW,2014.0,2073,1302175.0,ZW,,,,
ZW,2015.0,600,723625.0,ZW,,,,
ZW,2016.0,808,788600.0,ZW,,,,
ZW,2017.0,548,620350.0,ZW,44.7,,,
