country_code,year,n_loans,total_loan_amount,log_total_loan_amount,log_gdp_pc,population,log_population,institutional_pca1,institutional_index,financial_access_index,poverty_rate
GE,2015,1025,1580000.0,14.27293540500315,8.315474075721646,3912061.0,15.17957490306231,0.839057029186175,0.8546271080499653,0.8404044462859354,10.6
GE,2016,550,832475.0,13.632158470355796,8.348796207970258,3912061.0,15.17957490306231,0.839057029186175,0.8546271080499653,0.8404044462859354,10.5
GE,2017,120,177800.0,12.088414602061942,8.398974235046817,3912061.0,15.17957490306231,0.839057029186175,0.8546271080499653,0.8404044462859354,11.1
GH,2013,23,30300.0,10.31890299149746,7.449263567025666,28833629.0,17.177052937516684,0.596242808609567,0.5156240956019457,-0.2351639140308699,
GH,2014,847,1075825.0,13.88859836707144,7.453775812456559,28833629.0,17.177052937516684,0.596242808609567,0.5156240956019457,-0.2351639140308699,
GH,2015,1350,1501425.0,14.221925215108026,7.451690381251575,28833629.0,17.177052937516684,0.596242808609567,0.5156240956019457,-0.2351639140308699,
GH,2016,1433,1483100.0,14.209645049730053,7.462106386506757,28833629.0,17.177052937516684,0.596242808609567,0.5156240956019457,-0.2351639140308699,39.0
GH,2017,721,869775.0,13.675989836493013,7.518306607865189,28833629.0,17.177052937516684,0.596242808609567,0.5156240956019457,-0.2351639140308699,
GT,2013,17,14325.0,9.56976154158294,8.220754121817835,16913503.0,16.64362285495029,-0.4259525498931141,-0.4195992653939249,0.2407010825371247,
GT,2014,1609,2330825.0,14.661732840124545,8.245283643012058,16913503.0,16.64362285495029,-0.4259525498931141,-0.4195992653939249,0.2407010825371247,8.0
GT,2015,2406,3427475.0,15.047334396445981,8.267065144732472,16913503.0,16.64362285495029,-0.4259525498931141,-0.4195992653939249,0.2407010825371247,
GT,2016,2221,3657675.0,15.112338257621742,8.275065309744168,16913503.0,16.64362285495029,-0.4259525498931141,-0.4195992653939249,0.2407010825371247,
GT,2017,1057,1983700.0,14.5004743457162,8.28721145752381,16913503.0,16.64362285495029,-0.4259525498931141,-0.4195992653939249,0.2407010825371247,
HN,2013,52,34600.0,10.451608961045816,7.698664751950636,9265067.0,16.04176164919191,-0.3504201792727882,-0.3437447193084035,-0.0892480724836982,20.8
HN,2014,2455,2165250.0,14.588046386193291,7.709419463290649,9265067.0,16.04176164919191,-0.3504201792727882,-0.3437447193084035,-0.0892480724836982,20.6
HN,2015,1455,1527825.0,14.239355713353868,7.728064776258589,9265067.0,16.04176164919191,-0.3504201792727882,-0.3437447193084035,-0.0892480724836982,19.9
HN,2016,1706,1483125.0,14.209661906172165,7.74748017842633,9265067.0,16.04176164919191,-0.3504201792727882,-0.3437447193084035,-0.0892480724836982,19.8
HN,2017,889,833150.0,13.632968976966769,7.776272403264892,9265067.0,16.04176164919191,-0.3504201792727882,-0.3437447193084035,-0.0892480724836982,19.3
HT,2013,15,49725.0,10.814263103722173,7.238771262553815,10981229.0,16.211697918565118,-1.0930218868337975,-1.0632213087212947,-0.7230323449136171,
HT,2014,533,614750.0,13.32897096007844,7.252598345119128,10981229.0,16.211697918565118,-1.0930218868337975,-1.0632213087212947,-0.7230323449136171,
HT,2015,746,583500.0,13.276799730708747,7.252143846797234,10981229.0,16.211697918565118,-1.0930218868337975,-1.0632213087212947,-0.7230323449136171,
HT,2016,1502,888925.0,13.697768146482717,7.256119961308061,10981229.0,16.211697918565118,-1.0930218868337975,-1.0632213087212947,-0.7230323449136171,
HT,2017,822,658025.0,13.396998203506676,7.267296710882684,10981229.0,16.211697918565118,-1.0930218868337975,-1.0632213087212947,-0.7230323449136171,
ID,2013,28,15075.0,9.620793021595386,8.024614233453086,263991379.0,19.391427005274362,0.3090793240523599,0.316874162059042,0.1479529499443898,27.2
ID,2014,1370,1264000.0,14.049791853688939,8.061714295302249,263991379.0,19.391427005274362,0.3090793240523599,0.316874162059042,0.1479529499443898,25.7
ID,2015,1627,1302825.0,14.080045541638233,8.098102484191292,263991379.0,19.391427005274362,0.3090793240523599,0.316874162059042,0.1479529499443898,21.6
ID,2016,2442,1621225.0,14.298692594293435,8.136462661371946,263991379.0,19.391427005274362,0.3090793240523599,0.316874162059042,0.1479529499443898,18.0
ID,2017,747,633850.0,13.359567612366872,8.175693938429037,263991379.0,19.391427005274362,0.3090793240523599,0.316874162059042,0.1479529499443898,14.8
IL,2013,1,5750.0,8.656955133791396,10.476992400972282,8321570.0,15.9343614969185,1.2372312052602563,1.3019607473768533,0.9388956074296428,0.5
IL,2014,64,261975.0,12.476004358343143,10.494859853869874,8321570.0,15.9343614969185,1.2372312052602563,1.3019607473768533,0.9388956074296428,0.7
