country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
KH,2017,9087,4752875.0,1753.9353050466204,7.4696172880139295
LA,2014,158,219725.0,2006.3119544444692,7.604053467121511
LA,2015,648,512550.0,2121.013390973629,7.6596492680636725
LA,2016,330,248400.0,2234.7609874184627,7.711889560576734
LA,2017,350,180825.0,2351.5744174759507,7.762840347695303
LB,2013,5,7150.0,8443.538565287841,9.041156761014575
LB,2014,1330,1956250.0,7830.415111333605,8.965770803075568
LB,2015,2661,3661875.0,7714.109999880404,8.950806398438399
LB,2016,3138,4168425.0,8019.141691342605,8.989586674103801
LB,2017,1658,2365100.0,8305.57405425721,9.02468214118266
LR,2013,208,46725.0,717.0072803589749,6.575085994465748
LR,2014,1848,492700.0,707.157694930142,6.561253689016782
LR,2015,34,13150.0,692.590082351257,6.540438312419157
LR,2016,460,193975.0,668.0315131756014,6.504335347836498
LR,2017,1132,451275.0,671.2608998353553,6.509157883807223
LS,2015,32,29300.0,1121.1985134251822,7.022153493411394
LS,2016,227,200350.0,1147.5874880167062,7.04541718130876
LS,2017,163,129875.0,1097.821668127518,7.001083193694292
MD,2014,4,11300.0,2737.801850566472,7.914910633093125
MD,2015,66,140625.0,2749.5513705433796,7.919193039367943
MD,2016,183,341400.0,2910.954868723758,7.976236439923536
MD,2017,95,225400.0,3085.333058442626,8.034414891109448
MG,2015,1001,329100.0,445.32006948056755,6.098793280884404
MG,2016,1865,629375.0,451.1565943314605,6.111814495049769
MG,2017,955,277550.0,456.8518595740305,6.124359179862154
ML,2013,92,76450.0,788.8194482057492,6.670537458417737
ML,2014,2935,3238475.0,813.9756612852041,6.701930465414495
ML,2015,1566,2076925.0,838.1198694010295,6.731161132497182
ML,2016,1597,2363875.0,860.7530755456903,6.757807675312093
ML,2017,449,1230975.0,878.5613483774335,6.778285738287892
MM,2014,77,529475.0,1099.2438775160488,7.00237783835339
MM,2015,163,670400.0,1166.7330554793548,7.0619628618869745
MM,2016,740,1200875.0,1225.3791397266775,7.111005576910716
MM,2017,890,841550.0,1290.564090274579,7.162834681059614
